date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,srad,q_mm,humidity
12/1/10,323,455,2.9913875,3102.61,423.45,844.0,468.0,578.0,28.67,30.43,20.29,207.70504,117.7,79.26190476
1/1/11,345,546,2.9913875,3100.45,415.85,799.0,485.0,557.0,24.49,31.2,20.92,228.94287,4.5,82.19354839
2/1/11,362,595,2.9913875,3199.41,410.77,718.0,466.0,552.0,22.06,31.97,21.03,238.41747,25.1,74.83928571
3/1/11,376,636,2.9913875,3281.67,414.82,614.0,442.0,574.0,21.64,32.69,21.6,218.47599,53.6,77.93548387
4/1/11,383,738,2.9913875,3261.65,451.04,619.0,429.0,595.0,22.3,32.37,22.0575,226.1501,166.0,80.45
5/1/11,382,702,2.9913875,3198.4,477.29,605.0,414.0,610.0,23.82,32.4,20.91,223.46136,27.5,74.83870968
6/1/11,396,644,2.9913875,3104.06,521.14,595.0,434.0,612.0,27.84,32.37,20.54,212.99449,3.0,72.36666667
7/1/11,402,647,2.9913875,3161.99,525.01,616.0,425.0,595.0,29.62,31.4,20.5,226.25413,27.8,70.27419355
8/1/11,390,638,2.9913875,3259.13,539.31,651.0,439.0,565.0,29.49,31.83,20.87,204.41613,10.4,72.67741935
9/1/11,404,589,2.9786,3335.56,593.04,665.0,456.0,578.0,26.71,30.91,20.95,203.41586,257.2,71.81666667
10/1/11,382,528,2.9738,3454.2,616.49,644.0,429.0,595.0,27.14,30.83,21.49,156.75504,195.6,76.03225806
11/1/11,382,494,2.9299,3490.25,623.72,600.0,409.0,609.0,29.02,30.69,20.17,200.62309,13.1,80.28333333
12/1/11,391,501,2.8788,3342.78,585.76,562.0,421.0,575.0,30.25,30.09,20.29,206.02457,19.5,79.30645161
1/1/12,396,493,2.8506,2986.24,551.92,565.0,418.0,543.0,29.41,31.71,21.02,248.63628,4.1,74.43548387
2/1/12,413,496,2.8242,2747.9,557.22,575.0,437.0,545.0,26.24,31.83,20.94,246.72375,74.2,75.17241379
3/1/12,401,461,2.8215,2793.15,607.17,622.0,436.0,615.0,28.92,31.59,21.25,197.58226,128.4,76.98387097
4/1/12,410,444,2.8213,2757.83,612.27,621.0,444.0,628.0,31.03,31.73,21.34,184.91478,173.8,76.0
5/1/12,425,439,2.8189,2587.66,582.56,611.0,433.0,660.0,33.23,31.9,21.05,204.00802,60.8,73.16129032
6/1/12,408,427,2.7842,2628.83,553.48,602.0,438.0,689.0,30.84,31.46,20.48,184.81875,5.4,70.46666667
7/1/12,392,402,2.7758,2783.9,564.09,623.0,448.0,731.0,26.02,31.1,20.45,213.05851,37.7,70.93548387
8/1/12,371,418,2.7693,2787.13,615.82,685.0,448.0,712.0,24.29,31.37,20.48,191.5486,106.8,71.08064516
9/1/12,356,436,2.773,2721.53,620.32,712.0,461.0,696.0,26.33,30.7,20.75,169.3425,294.8,70.96666667
10/1/12,362,460,2.7682,2694.24,648.67,773.0,505.0,684.0,27.04,31.22,21.74,173.95977,249.2,74.40322581
11/1/12,356,455,2.8146,2685.46,675.49,858.0,483.0,632.0,28.36,30.54,20.46,178.38498,203.5,80.96666667
12/1/12,352,424,2.8149,2743.6,704.51,845.0,489.0,624.0,25.21,29.88,20.33,203.81597,152.7,81.01612903
1/1/13,333,419,2.6602,2706.44,687.6,807.0,491.0,632.0,25.93,30.56,21.12,217.47572,5.5,76.20967742
2/1/13,357,464,2.505,2665.22,644.98,808.0,536.0,657.0,26.57,32.17,20.59,231.43955,71.2,80.33928571
3/1/13,411,615,2.481,2681.78,700.61,924.0,589.0,701.0,26.15,31.69,21.29,207.40895,162.6,75.01612903
4/1/13,404,595,2.4793,2686.82,699.96,993.0,602.0,727.0,27.15,32.02,21.29,205.71249,77.2,73.71666667
5/1/13,387,573,2.4479,2661.5,650.92,1011.0,577.0,724.0,27.47,31.7,20.65,217.87583,4.3,73.22580645
6/1/13,395,539,2.32,2683.4,667.68,1013.0,586.0,699.0,29.96,31.42,20.73,208.10515,48.0,67.35
7/1/13,434,560,2.2803,2668.77,657.92,1030.0,584.0,695.0,30.63,31.8,20.75,222.36506,24.9,69.32258065
8/1/13,488,599,2.3062,2705.24,668.92,1020.0,594.0,714.0,33.59,31.53,20.73,202.31956,96.9,70.12903226
9/1/13,508,608,2.2916,2744.46,684.68,1014.0,571.0,695.0,31.32,31.2,20.8,182.77819,148.5,73.68333333
10/1/13,494,579,2.3908,3553.91,709.72,1017.0,560.0,700.0,33.28,30.97,21.79,170.21474,277.5,74.30645161
11/1/13,575,596,2.4153,3548.05,683.88,1018.0,600.0,706.0,36.9,30.03,20.56,171.80718,231.6,78.78333333
12/1/13,614,622,2.4943,3596.26,647.24,1018.0,672.0,708.0,37.59,29.48,20.13,206.42468,124.2,82.5483871
1/1/14,616,621,2.4698,3694.03,663.64,1029.0,642.0,682.0,42.64,30.86,20.82,208.12115,51.8,74.03225806
2/1/14,707,706,2.4304,3656.24,651.7,1048.0,706.0,683.0,37.3,31.77,21.09,245.00328,96.9,67.10714286
3/1/14,719,692,2.3833,3587.45,652.57,1062.0,693.0,646.0,32.25,31.39,21.34,219.61231,172.5,70.67741935
4/1/14,655,622,2.3723,3622.27,642.01,1054.0,674.0,598.0,35.69,31.82,21.24,196.32591,40.3,79.41666667
5/1/14,661,636,2.4047,3772.18,645.33,1025.0,663.0,602.0,36.86,31.54,20.35,204.72022,16.2,77.25806452
6/1/14,687,632,2.4114,4161.09,654.17,990.0,652.0,591.0,41.04,31.76,19.98,199.9269,59.2,69.31666667
7/1/14,625,619,2.4146,4503.83,687.82,981.0,610.0,595.0,40.94,31.5,20.45,212.01822,44.6,67.62903226
8/1/14,611,616,2.413,4446.18,734.38,973.0,595.0,606.0,39.25,31.22,20.03,193.92525,122.0,73.29032258
9/1/14,631,668,2.406,4465.47,727.47,965.0,611.0,659.0,46.36,30.6,20.4,182.93023,128.9,73.23333333
10/1/14,655,693,2.3219,4624.57,711.64,969.0,626.0,679.0,48.74,31.33,21.48,179.43327,132.9,76.67741935
11/1/14,616,686,2.357,4591.11,728.91,980.0,616.0,666.0,52.85,29.59,20.56,150.74539,211.1,79.46666667
12/1/14,586,677,2.3064,4749.52,716.23,981.0,614.0,647.0,53.48,28.78,20.43,193.22906,107.8,81.29032258
1/1/15,615,718,2.2659,4973.13,738.57,990.0,638.0,666.0,51.91,30.51,20.23,222.17301,3.1,73.85483871
2/1/15,607,750,2.2431,5082.29,773.72,995.0,623.0,669.0,49.45,30.93,20.88,221.87693,113.4,67.64285714
3/1/15,590,718,2.2833,5002.53,828.42,988.0,579.0,666.0,50.11,31.69,21.09,218.98813,172.2,73.38709677
4/1/15,535,711,2.2585,5509.12,829.91,959.0,554.0,722.0,54.11,32.02,21.29,203.96801,141.9,73.16666667
5/1/15,518,738,2.2803,6067.63,820.58,925.0,548.0,730.0,51.62,31.8,20.1,226.64624,48.6,72.14516129
6/1/15,519,723,2.4149,6032.36,809.12,911.0,538.0,719.0,52.32,31.71,20.33,193.53314,5.2,69.83333333
7/1/15,562,756,2.5139,5909.79,785.73,895.0,582.0,709.0,56.57,30.84,19.9,200.88716,192.1,65.32258065
8/1/15,552,778,2.5501,5906.63,784.4,897.0,591.0,713.0,55.55,31.12,20.57,190.24424,83.9,67.48387097
9/1/15,508,816,2.5687,6014.78,822.39,904.0,563.0,755.0,56.08,30.46,20.8,175.43217,274.2,68.1
10/1/15,476,775,2.5689,5903.83,854.31,902.0,549.0,831.0,58.66,31.57,21.64,182.59414,200.6,68.08064516
