date,cpo_pri,cno_pri,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,cpo_pri_lag_12,cpo_pri_lag_11,cpo_pri_lag_10,cpo_pri_lag_9
12/1/10,323,455,3102.61,423.45,844,468,578,257,265,254,240
2/1/21,323,330,2936.19,1303.59,759.59,390.69,1572.25,257,265,254,240
2/1/11,362,595,3199.41,410.77,718,466,552,382,382,391,396
2/1/11,362,595,3199.41,410.77,718,466,552,306,288,255,257
10/1/12,362,460,2694.24,648.67,773,505,684,382,382,391,396
10/1/12,362,460,2694.24,648.67,773,505,684,306,288,255,257
11/1/20,362,363,2626.91,1252.78,738.07,427.49,1430.48,382,382,391,396
11/1/20,362,363,2626.91,1252.78,738.07,427.49,1430.48,306,288,255,257
6/1/11,396,644,3104.06,521.14,595,434,612,345,362,376,383
1/1/12,396,493,2986.24,551.92,565,418,543,345,362,376,383
9/1/11,404,589,3335.56,593.04,665,456,578,410,425,408,392
4/1/13,404,595,2686.82,699.96,993,602,727,410,425,408,392
12/1/11,391,501,3342.78,585.76,562,421,575,323,345,362,376
2/1/12,413,496,2747.9,557.22,575,437,545,362,376,383,382
3/1/12,401,461,2793.15,607.17,622,436,615,376,383,382,396
4/1/12,410,444,2757.83,612.27,621,444,628,383,382,396,402
5/1/12,425,439,2587.66,582.56,611,433,660,382,396,402,390
6/1/12,408,427,2628.83,553.48,602,438,689,396,402,390,404
7/1/12,392,402,2783.9,564.09,623,448,731,402,390,404,382
7/1/12,392,402,2783.9,564.09,623,448,731,633,661,674,703
9/1/18,392,796,3829.73,933.77,836.25,405.88,924,402,390,404,382
9/1/18,392,796,3829.73,933.77,836.25,405.88,924,633,661,674,703
8/1/12,371,418,2787.13,615.82,685,448,712,390,404,382,382
9/1/12,356,436,2721.53,620.32,712,461,696,404,382,382,391
9/1/12,356,436,2721.53,620.32,712,461,696,382,391,396,413
11/1/12,356,455,2685.46,675.49,858,483,632,404,382,382,391
11/1/12,356,455,2685.46,675.49,858,483,632,382,391,396,413
12/1/12,352,424,2743.6,704.51,845,489,624,391,396,413,401
1/1/13,333,419,2706.44,687.6,807,491,632,396,413,401,410
2/1/13,357,464,2665.22,644.98,808,536,657,413,401,410,425
3/1/13,411,615,2681.78,700.61,924,589,701,401,410,425,408
5/1/13,387,573,2661.5,650.92,1011,577,724,425,408,392,371
6/1/13,395,539,2683.4,667.68,1013,586,699,408,392,371,356
7/1/13,434,560,2668.77,657.92,1030,584,695,392,371,356,362
8/1/13,488,599,2705.24,668.92,1020,594,714,371,356,362,356
9/1/13,508,608,2744.46,684.68,1014,571,695,356,362,356,352
9/1/13,508,608,2744.46,684.68,1014,571,695,631,655,616,586
9/1/15,508,816,6014.78,822.39,904,563,755,356,362,356,352
