date,cpo_pri,cno_pri,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,srad,q_mm,humidity
2010-12-01,323,455,3102.61,423.45,844,468,578,28.67,207.70504,117.7,79.26190476
2011-01-01,345,546,3100.45,415.85,799,485,557,24.49,228.94287,4.5,82.19354839
2011-02-01,362,595,3199.41,410.77,718,466,552,22.06,238.41747,25.1,74.83928571
2011-03-01,376,636,3281.67,414.82,614,442,574,21.64,218.47599,53.6,77.93548387
2011-04-01,383,738,3261.65,451.04,619,429,595,22.3,226.1501,166,80.45
2011-05-01,382,702,3198.4,477.29,605,414,610,23.82,223.46136,27.5,74.83870968
2011-06-01,396,644,3104.06,521.14,595,434,612,27.84,212.99449,3,72.36666667
2011-07-01,402,647,3161.99,525.01,616,425,595,29.62,226.25413,27.8,70.27419355
2011-08-01,390,638,3259.13,539.31,651,439,565,29.49,204.41613,10.4,72.67741935
2011-09-01,404,589,3335.56,593.04,665,456,578,26.71,203.41586,257.2,71.81666667
2011-10-01,382,528,3454.2,616.49,644,429,595,27.14,156.75504,195.6,76.03225806
2011-11-01,382,494,3490.25,623.72,600,409,609,29.02,200.62309,13.1,80.28333333
2011-12-01,391,501,3342.78,585.76,562,421,575,30.25,206.02457,19.5,79.30645161
2012-01-01,396,493,2986.24,551.92,565,418,543,29.41,248.63628,4.1,74.43548387
2012-02-01,413,496,2747.9,557.22,575,437,545,26.24,246.72375,74.2,75.17241379
2012-03-01,401,461,2793.15,607.17,622,436,615,28.92,197.58226,128.4,76.98387097
2012-04-01,410,444,2757.83,612.27,621,444,628,31.03,184.91478,173.8,76
2012-05-01,425,439,2587.66,582.56,611,433,660,33.23,204.00802,60.8,73.16129032
2012-06-01,408,427,2628.83,553.48,602,438,689,30.84,184.81875,5.4,70.46666667
2012-07-01,392,402,2783.9,564.09,623,448,731,26.02,213.05851,37.7,70.93548387
2012-08-01,371,418,2787.13,615.82,685,448,712,24.29,191.5486,106.8,71.08064516
2012-09-01,356,436,2721.53,620.32,712,461,696,26.33,169.3425,294.8,70.96666667
2012-10-01,362,460,2694.24,648.67,773,505,684,27.04,173.95977,249.2,74.40322581
2012-11-01,356,455,2685.46,675.49,858,483,632,28.36,178.38498,203.5,80.96666667
2012-12-01,352,424,2743.6,704.51,845,489,624,25.21,203.81597,152.7,81.01612903
2013-01-01,333,419,2706.44,687.6,807,491,632,25.93,217.47572,5.5,76.20967742
2013-02-01,357,464,2665.22,644.98,808,536,657,26.57,231.43955,71.2,80.33928571
2013-03-01,411,615,2681.78,700.61,924,589,701,26.15,207.40895,162.6,75.01612903
2013-04-01,404,595,2686.82,699.96,993,602,727,27.15,205.71249,77.2,73.71666667
2013-05-01,387,573,2661.5,650.92,1011,577,724,27.47,217.87583,4.3,73.22580645
2013-06-01,395,539,2683.4,667.68,1013,586,699,29.96,208.10515,48,67.35
2013-07-01,434,560,2668.77,657.92,1030,584,695,30.63,222.36506,24.9,69.32258065
2013-08-01,488,599,2705.24,668.92,1020,594,714,33.59,202.31956,96.9,70.12903226
2013-09-01,508,608,2744.46,684.68,1014,571,695,31.32,182.77819,148.5,73.68333333
2013-10-01,494,579,3553.91,709.72,1017,560,700,33.28,170.21474,277.5,74.30645161
2013-11-01,575,596,3548.05,683.88,1018,600,706,36.9,171.80718,231.6,78.78333333
2013-12-01,614,622,3596.26,647.24,1018,672,708,37.59,206.42468,124.2,82.5483871
2014-01-01,616,621,3694.03,663.64,1029,642,682,42.64,208.12115,51.8,74.03225806
2014-02-01,707,706,3656.24,651.7,1048,706,683,37.3,245.00328,96.9,67.10714286
2014-03-01,719,692,3587.45,652.57,1062,693,646,32.25,219.61231,172.5,70.67741935
2014-04-01,655,622,3622.27,642.01,1054,674,598,35.69,196.32591,40.3,79.41666667
2014-05-01,661,636,3772.18,645.33,1025,663,602,36.86,204.72022,16.2,77.25806452
2014-06-01,687,632,4161.09,654.17,990,652,591,41.04,199.9269,59.2,69.31666667
2014-07-01,625,619,4503.83,687.82,981,610,595,40.94,212.01822,44.6,67.62903226
