date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
12/1/10,323,455,2.9913875,3102.61,423.45,844,468,578,28.67,30.43,20.29,232.9,115.3,1.67,207.70504,117.7,30.80952381,21.66666667,10.4,6.333333333,53.20080645,22.23809524,29.78571429,26.54761905,5.642857143,47.76190476,79.26190476,0.269047619,1008.119048,26.54761905,7.76019188,168.7380952,4.071428571
1/1/11,345,546,2.9913875,3100.45,415.85,799,485,557,24.49,31.2,20.92,89.1,115.4,1.41,228.94287,4.5,30.22580645,21.90322581,9.883870968,5.967741935,48.67741935,22.62903226,29.40322581,26.32258065,5.177419355,52.48387097,82.19354839,0.385483871,1009.193548,26.32258065,7.76019188,122.7903226,3.758064516
2/1/11,362,595,2.9913875,3199.41,410.77,718,466,552,22.06,31.97,21.03,179.7,135.1,1.33,238.41747,25.1,32.67857143,21.71428571,11.3,6.142857143,51.57142857,22.01785714,31.26785714,27.58928571,4.375,36.625,74.83928571,0.214285714,1009.375,27.58928571,8.053571429,114.8928571,3.017857143
3/1/11,376,636,2.9913875,3281.67,414.82,614,442,574,21.64,32.69,21.6,177.1,123.5,1.17,218.47599,53.6,32.03225806,22.41935484,10.29032258,6.258064516,48.70967742,22.90322581,31.61290323,27.62903226,4.919354839,48.41935484,77.93548387,0.277419355,1008.903226,27.51612903,7.967741935,144.3387097,3.532258065
4/1/11,383,738,2.9913875,3261.65,451.04,619,429,595,22.3,32.37,22.0575,295,129,1.27,226.1501,166,31.4,22.73333333,11.41333333,6.2,49.43333333,23.45,31.73333333,27.45,4.55,38.2,80.45,0.383333333,1009.05,27.08333333,8.65,149.3,3.183333333
5/1/11,382,702,2.9913875,3198.4,477.29,605,414,610,23.82,32.4,20.91,150.8,123.3,1.47,223.46136,27.5,33,22.58064516,11.1483871,6.903225806,48.09677419,22.70967742,32.38709677,28.20967742,5.64516129,30.51612903,74.83870968,0.464516129,1008.854839,28.17741935,8.951612903,238.6129032,4.096774194
6/1/11,396,644,2.9913875,3104.06,521.14,595,434,612,27.84,32.37,20.54,59.1,122,1.28,212.99449,3,33.33333333,22.8,11.27333333,6.766666667,49.3,22.3,32.43333333,28.45,6.716666667,28.48333333,72.36666667,0.523333333,1008.383333,28.38333333,8.966666667,184.1166667,4.733333333
7/1/11,402,647,2.9913875,3161.99,525.01,616,425,595,29.62,31.4,20.5,197.6,128.2,1.69,226.25413,27.8,33.38709677,22.38709677,11.6,6.967741935,47.74193548,21.77419355,31.83870968,28.27419355,7.080645161,26.22580645,70.27419355,0.390322581,1008.629032,28.25806452,9.338709677,187.8225806,5.016129032
8/1/11,390,638,2.9913875,3259.13,539.31,651,439,565,29.49,31.83,20.87,122.8,112.4,1.35,204.41613,10.4,33.12903226,22.74193548,11.19354839,6.741935484,48.35483871,22.20967742,31.98387097,28.22580645,7.532258065,33.98387097,72.67741935,0.433870968,1009.290323,28.22580645,9.258064516,180.7741935,5.370967742
9/1/11,404,589,2.9786,3335.56,593.04,665,456,578,26.71,30.91,20.95,371.1,113.9,1.33,203.41586,257.2,33.06666667,22.66666667,11.22666667,6.666666667,49.56666667,22,31.98333333,28.18333333,6.616666667,37.43333333,71.81666667,0.63,1009.783333,28.18333333,9.316666667,181.1833333,4.8
10/1/11,382,528,2.9738,3454.2,616.49,644,429,595,27.14,30.83,21.49,285.6,90,1.22,156.75504,195.6,32.58064516,22.74193548,10.61935484,6.516129032,48.90322581,22.77419355,31.80645161,27.82258065,5.532258065,35.85483871,76.03225806,0.430645161,1008.774194,27.82258065,8.516129032,154.6612903,3.951612903
11/1/11,382,494,2.9299,3490.25,623.72,600,409,609,29.02,30.69,20.17,123.7,110.6,1.38,200.62309,13.1,31.33333333,22.8,10.69666667,6.333333333,49.73333333,23.26666667,31.4,27.25,6.583333333,48.63333333,80.28333333,0.453333333,1008.466667,27.25,7.816666667,182.6833333,4.716666667
12/1/11,391,501,2.8788,3342.78,585.76,562,421,575,30.25,30.09,20.29,133.7,114.2,1.92,206.02457,19.5,31.70967742,22.58064516,10.51612903,6.290322581,49.5483871,23.08064516,31.48387097,27.41935484,5.580645161,48.85483871,79.30645161,0.382258065,1009.145161,27.41935484,7.967741935,147.3387097,4.080645161
1/1/12,396,493,2.8506,2986.24,551.92,565,418,543,29.41,31.71,21.02,83,124.3,1.64,248.63628,4.1,32.51612903,22.32258065,10.6516129,6.419354839,50,22.25806452,31.48387097,27.83870968,5.951612903,38.03225806,74.43548387,0.459677419,1009.241935,27.83870968,8.548387097,145.8548387,4.241935484
2/1/12,413,496,2.8242,2747.9,557.22,575,437,545,26.24,31.83,20.94,240.7,137.7,1.32,246.72375,74.2,33.10344828,22.55172414,11.31034483,6.413793103,49.93103448,22.62068966,32.29310345,28.05172414,6.086206897,35.0862069,75.17241379,0.422413793,1008.793103,28.05172414,8.827586207,137.6034483,4.206896552
