,Month,cpo_pri
0,1991-09,323
1,1991-10,345
2,1991-11,362
3,1991-12,376
4,1992-01,383
5,1992-02,382
6,1992-03,396
7,1992-04,402
8,1992-05,390
9,1992-06,404
10,1992-07,382
11,1992-08,382
12,1992-09,391
13,1992-10,396
14,1992-11,413
15,1992-12,401
16,1993-01,410
17,1993-02,425
18,1993-03,408
19,1993-04,392
20,1993-05,371
21,1993-06,356
22,1993-07,362
23,1993-08,356
24,1993-09,352
25,1993-10,333
26,1993-11,357
27,1993-12,411
28,1994-01,404
29,1994-02,387
30,1994-03,395
31,1994-04,434
32,1994-05,488
33,1994-06,508
34,1994-07,494
35,1994-08,575
36,1994-09,614
37,1994-10,616
38,1994-11,707
39,1994-12,719
40,1995-01,655
41,1995-02,661
42,1995-03,687
43,1995-04,625
44,1995-05,611
45,1995-06,631
46,1995-07,655
47,1995-08,616
48,1995-09,586
49,1995-10,615
50,1995-11,607
51,1995-12,590
52,1996-01,535
53,1996-02,518
54,1996-03,519
55,1996-04,562
56,1996-05,552
57,1996-06,508
58,1996-07,476
59,1996-08,513
60,1996-09,545
61,1996-10,532
62,1996-11,550
63,1996-12,561
64,1997-01,567
65,1997-02,580
66,1997-03,559
67,1997-04,562
68,1997-05,553
69,1997-06,533
70,1997-07,498
71,1997-08,504
72,1997-09,525
73,1997-10,547
74,1997-11,556
75,1997-12,566
76,1998-01,621
77,1998-02,659
78,1998-03,671
79,1998-04,688
80,1998-05,705
81,1998-06,633
82,1998-07,661
83,1998-08,674
84,1998-09,703
85,1998-10,694
86,1998-11,681
87,1998-12,663
88,1999-01,632
89,1999-02,561
90,1999-03,497
91,1999-04,509
92,1999-05,475
93,1999-06,392
94,1999-07,319
95,1999-08,354
96,1999-09,388
97,1999-10,381
98,1999-11,370
99,1999-12,354
100,2000-01,348
101,2000-02,332
102,2000-03,349
103,2000-04,372
104,2000-05,324
105,2000-06,315
106,2000-07,312
107,2000-08,306
108,2000-09,288
109,2000-10,255
110,2000-11,257
111,2000-12,265
112,2021-01,254
113,2021-02,240
114,2021-03,254
115,2021-04,251
116,2021-05,234
117,2021-06,255
118,2021-07,330
119,2021-08,362
120,2021-09,310
121,2021-10,277
122,2021-11,323
123,2021-12,360
124,2021-01,374
125,2021-02,353
126,2021-03,359
