,Date,cpo_pri,cno_pri,rps_pri,pno_pri,sbo_pri,wti_spri
0,2002-02-01,323.0,455.0,423.45,844.0,468.0,28.67
1,2002-03-01,345.0,546.0,415.85,799.0,485.0,24.49
2,2002-04-01,362.0,595.0,410.77,718.0,466.0,22.06
3,2002-05-01,376.0,636.0,414.82,614.0,442.0,21.64
4,2002-06-01,383.0,738.0,451.04,619.0,429.0,22.3
5,2002-07-01,382.0,702.0,477.29,605.0,414.0,23.82
6,2002-08-01,396.0,644.0,521.14,595.0,434.0,27.84
7,2002-09-01,402.0,647.0,525.01,616.0,425.0,29.62
8,2002-10-01,390.0,638.0,539.31,651.0,439.0,29.49
9,2002-11-01,404.0,589.0,593.04,665.0,456.0,26.71
10,2002-12-01,382.0,528.0,616.49,644.0,429.0,27.14
11,2003-01-01,382.0,494.0,623.72,600.0,409.0,29.02
12,2003-02-01,391.0,501.0,585.76,562.0,421.0,30.25
13,2003-03-01,396.0,493.0,551.92,565.0,418.0,29.41
14,2003-04-01,413.0,496.0,557.22,575.0,437.0,26.24
15,2003-05-01,401.0,461.0,607.17,622.0,436.0,28.92
16,2003-06-01,410.0,444.0,612.27,621.0,444.0,31.03
17,2003-07-01,425.0,439.0,582.56,611.0,433.0,33.23
18,2003-08-01,408.0,427.0,553.48,602.0,438.0,30.84
19,2003-09-01,392.0,402.0,564.09,623.0,448.0,26.02
20,2003-10-01,371.0,418.0,615.82,685.0,448.0,24.29
21,2003-11-01,356.0,436.0,620.32,712.0,461.0,26.33
22,2003-12-01,362.0,460.0,648.67,773.0,505.0,27.04
23,2004-01-01,356.0,455.0,675.49,858.0,483.0,28.36
24,2004-02-01,352.0,424.0,704.51,845.0,489.0,25.21
25,2004-03-01,333.0,419.0,687.6,807.0,491.0,25.93
26,2004-04-01,357.0,464.0,644.98,808.0,536.0,26.57
27,2004-05-01,411.0,615.0,700.61,924.0,589.0,26.15
28,2004-06-01,404.0,595.0,699.96,993.0,602.0,27.15
29,2004-07-01,387.0,573.0,650.92,1011.0,577.0,27.47
30,2004-08-01,395.0,539.0,667.68,1013.0,586.0,29.96
31,2004-09-01,434.0,560.0,657.92,1030.0,584.0,30.63
32,2004-10-01,488.0,599.0,668.92,1020.0,594.0,33.59
33,2004-11-01,508.0,608.0,684.68,1014.0,571.0,31.32
34,2004-12-01,494.0,579.0,709.72,1017.0,560.0,33.28
35,2005-01-01,575.0,596.0,683.88,1018.0,600.0,36.9
36,2005-02-01,614.0,622.0,647.24,1018.0,672.0,37.59
37,2005-03-01,616.0,621.0,663.64,1029.0,642.0,42.64
38,2005-04-01,707.0,706.0,651.7,1048.0,706.0,37.3
39,2005-05-01,719.0,692.0,652.57,1062.0,693.0,32.25
40,2005-06-01,655.0,622.0,642.01,1054.0,674.0,35.69
41,2005-07-01,661.0,636.0,645.33,1025.0,663.0,36.86
42,2005-08-01,687.0,632.0,654.17,990.0,652.0,41.04
43,2005-09-01,625.0,619.0,687.82,981.0,610.0,40.94
44,2005-10-01,611.0,616.0,734.38,973.0,595.0,39.25
45,2005-11-01,631.0,668.0,727.47,965.0,611.0,46.36
46,2005-12-01,655.0,693.0,711.64,969.0,626.0,48.74
47,2006-01-01,616.0,686.0,728.91,980.0,616.0,52.85
48,2006-02-01,586.0,677.0,716.23,981.0,614.0,53.48
49,2006-03-01,615.0,718.0,738.57,990.0,638.0,51.91
50,2006-04-01,607.0,750.0,773.72,995.0,623.0,49.45
51,2006-05-01,590.0,718.0,828.42,988.0,579.0,50.11
52,2006-06-01,535.0,711.0,829.91,959.0,554.0,54.11
53,2006-07-01,518.0,738.0,820.58,925.0,548.0,51.62
54,2006-08-01,519.0,723.0,809.12,911.0,538.0,52.32
55,2006-09-01,562.0,756.0,785.73,895.0,582.0,56.57
56,2006-10-01,552.0,778.0,784.4,897.0,591.0,55.55
57,2006-11-01,508.0,816.0,822.39,904.0,563.0,56.08
58,2006-12-01,476.0,775.0,854.31,902.0,549.0,58.66
59,2007-01-01,513.0,742.0,823.02,885.0,565.0,57.01
60,2007-02-01,545.0,721.0,790.39,879.0,569.0,50.14
61,2007-03-01,532.0,722.0,771.51,874.0,528.0,46.67
62,2007-04-01,550.0,760.0,808.43,868.0,517.0,45.91
63,2007-05-01,561.0,777.0,844.71,868.0,514.0,46.93
64,2007-06-01,567.0,768.0,867.68,874.0,534.0,41.73
65,2007-07-01,580.0,768.0,925.81,886.0,527.0,45.32
66,2007-08-01,559.0,737.0,958.29,896.0,541.0,45.77
67,2007-09-01,562.0,710.0,1044.75,938.0,541.0,47.31
68,2007-10-01,553.0,654.0,1146.97,981.0,541.0,46.96
69,2007-11-01,533.0,637.0,1252.43,1047.0,550.0,50.3
70,2007-12-01,498.0,597.0,1336.75,1096.0,535.0,54.06
71,2008-01-01,504.0,567.0,1368.63375,1093.0,544.0,53.14
72,2008-02-01,525.0,615.0,1368.63375,1083.0,555.0,57.51
73,2008-03-01,547.0,627.0,1368.63375,1083.0,611.0,60.38
74,2008-04-01,556.0,616.0,1368.63375,1090.0,676.0,64.54
75,2008-05-01,566.0,586.0,1368.63375,1058.0,622.0,62.71
76,2008-06-01,621.0,558.0,1368.63375,1055.0,625.0,63.18
77,2008-07-01,659.0,559.0,1368.63375,1029.0,634.0,64.68
78,2008-08-01,671.0,578.0,1352.83,949.0,652.0,67.94
79,2008-09-01,688.0,618.0,1238.29,928.0,662.0,71.51
80,2008-10-01,705.0,723.0,1040.68,900.0,671.0,80.36
81,2008-11-01,633.0,652.0,974.82,891.0,629.0,86.12
82,2008-12-01,661.0,667.0,838.02,874.0,612.0,84.58
83,2009-01-01,674.0,667.0,831.74,862.0,592.0,77.92
84,2009-02-01,703.0,652.0,802.4,852.0,615.0,72.35
85,2009-03-01,694.0,695.0,776.9,850.0,614.0,57.58
86,2009-04-01,681.0,752.0,830.19,862.0,614.0,45.0
87,2009-05-01,663.0,774.0,947.07,861.0,591.0,30.88
88,2009-06-01,632.0,763.0,917.18,952.71,541.63,31.54
89,2009-07-01,561.0,745.0,851.56,889.57,482.36,30.62
90,2009-08-01,497.0,700.0,884.24,752.45,444.36,36.45
91,2009-09-01,509.0,827.0,855.36,663.89,442.68,37.77
92,2009-10-01,475.0,874.0,894.11,762.17,421.5,43.33
93,2009-11-01,392.0,796.0,933.77,836.25,405.88,49.67
94,2009-12-01,319.0,656.0,938.29,859.8,391.4,45.52
95,2010-01-01,354.0,684.0,914.09,849.78,412.37,49.81
96,2010-02-01,388.0,704.0,900.93,848.78,413.93,47.69
97,2010-03-01,381.0,690.0,910.08,888.15,399.53,51.14
98,2010-04-01,370.0,703.0,909.13,924.94,387.31,52.3
99,2010-05-01,354.0,703.0,862.49,765.61,374.67,50.99
100,2010-06-01,348.0,654.0,876.07,676.08,369.79,54.91
101,2010-07-01,332.0,591.0,946.76,687.63,357.94,55.84
102,2010-08-01,349.0,552.0,1012.94,733.28,363.49,59.89
103,2010-09-01,372.0,550.0,1032.57,789.81,366.24,63.02
104,2010-10-01,324.0,481.0,1149.51,793.66,337.97,58.65
105,2010-11-01,315.0,437.0,1242.32,783.14,330.17,61.73
106,2010-12-01,312.0,400.0,1368.63375,771.62,339.3,59.81
107,2011-01-01,306.0,371.0,1368.63375,754.36,328.92,59.42
108,2011-02-01,288.0,332.0,1368.63375,760.59,312.49,57.61
109,2011-03-01,255.0,340.0,1368.63375,754.58,314.02,58.94
110,2011-04-01,257.0,367.0,1368.63375,769.61,316.78,61.35
111,2011-05-01,265.0,329.0,1368.63375,806.79,320.57,67.44
112,2011-06-01,254.0,319.0,1368.63375,815.71,304.81,66.94
113,2011-07-01,240.0,285.0,1368.63375,811.08,303.78,65.6
114,2011-08-01,254.0,289.0,1350.5,780.64,327.63,73.53
115,2011-09-01,251.0,293.0,1309.99,744.85,326.01,76.15
116,2011-10-01,234.0,295.0,1270.51,727.53,295.17,70.59
117,2011-11-01,255.0,317.0,1273.54,727.53,286.89,66.9
118,2011-12-01,330.0,358.0,1244.66,723.02,421.36,68.28
119,2012-01-01,362.0,363.0,1252.78,738.07,427.49,60.18
120,2012-02-01,310.0,322.0,1287.68,749.57,385.09,62.25
121,2012-03-01,277.0,307.0,1289.12,761.6,373.03,63.04
122,2012-04-01,323.0,330.0,1303.59,759.59,390.69,71.52
123,2012-05-01,360.0,339.0,1234.88,771.62,396.87,74.8
124,2012-06-01,374.0,362.0,1183.37,684.39,389.18,77.66
125,2012-07-01,353.0,376.0,1214.67,617.29,364.92,77.31
126,2012-08-01,359.0,366.0,1230.73,598.92,359.21,80.41
127,2012-09-01,360.0,411.0,1268.69,590.24,370.86,78.47
128,2012-10-01,385.0,420.0,1214.2,599.56,399.89,73.99
129,2012-11-01,426.0,446.0,1184.61,645.95,456.81,65.75
130,2012-12-01,422.0,445.0,1188.18,704.52,489.63,71.61
131,2013-01-01,446.0,443.0,1210.92,758.59,502.75,75.9
132,2013-02-01,425.0,410.0,1216.99,794.71,505.67,73.44
133,2013-03-01,427.0,434.0,1161.66,816.19,528.57,69.0
