Month,cpo_pri
1991-09,323
1991-10,345
1991-11,362
1991-12,376
1992-01,383
1992-02,382
1992-03,396
1992-04,402
1992-05,390
1992-06,404
1992-07,382
1992-08,382
1992-09,391
1992-10,396
1992-11,413
1992-12,401
1993-01,410
1993-02,425
1993-03,408
1993-04,392
1993-05,371
1993-06,356
1993-07,362
1993-08,356
1993-09,352
1993-10,333
1993-11,357
1993-12,411
1994-01,404
1994-02,387
1994-03,395
1994-04,434
1994-05,488
1994-06,508
1994-07,494
1994-08,575
1994-09,614
1994-10,616
1994-11,707
1994-12,719
1995-01,655
1995-02,661
1995-03,687
1995-04,625
1995-05,611
1995-06,631
1995-07,655
1995-08,616
1995-09,586
1995-10,615
1995-11,607
1995-12,590
1996-01,535
1996-02,518
1996-03,519
1996-04,562
1996-05,552
1996-06,508
1996-07,476
1996-08,513
1996-09,545
1996-10,532
1996-11,550
1996-12,561
1997-01,567
1997-02,580
1997-03,559
1997-04,562
1997-05,553
1997-06,533
1997-07,498
1997-08,504
1997-09,525
1997-10,547
1997-11,556
1997-12,566
1998-01,621
1998-02,659
1998-03,671
1998-04,688
1998-05,705
1998-06,633
1998-07,661
1998-08,674
1998-09,703
1998-10,694
1998-11,681
1998-12,663
1999-01,632
1999-02,561
1999-03,497
1999-04,509
1999-05,475
1999-06,392
1999-07,319
1999-08,354
1999-09,388
1999-10,381
1999-11,370
1999-12,354
2000-01,348
2000-02,332
2000-03,349
2000-04,372
2000-05,324
2000-06,315
2000-07,312
2000-08,306
2000-09,288
2000-10,255
2000-11,257
2000-12,265
2021-01,254
2021-02,240
2021-03,254
2021-04,251
2021-05,234
2021-06,255
2021-07,330
2021-08,362
2021-09,310
2021-10,277
2021-11,323
2021-12,359.5
2021-01,373.8
2021-02,352.98
2021-03,359
2021-04,360.07
2021-05,384.91
2021-06,426.13
2021-07,422.22
2021-08,446.09
2021-09,424.76
2021-10,427.24
2021-11,465.02
2021-12,488.52
2021-01,486.11
2021-02,476.95
2021-03,453.55
2021-04,443.02
2021-05,453.82
2021-06,466.21
2021-07,457.72
2021-08,439.36
2021-09,440.91
2021-10,515.07
2021-11,548
2021-12,539.72
2021-01,527.23
2021-02,564.13
2021-03,583.52
2021-04,575.05
2021-05,537.17
2021-06,471.2
2021-07,454.77
2021-08,458.14
2021-09,468.09
2021-10,451.26
2021-11,454.61
2021-12,446.2
2021-01,418.86
2021-02,422.63
2021-03,458.13
2021-04,457.86
2021-05,450
2021-06,451.7
2021-07,454.52
2021-08,448.48
2021-09,453.64
2021-10,467.5
2021-11,466.7
2021-12,456.75
2021-01,459.05
2021-02,473.9
2021-03,472.52
2021-04,475.9
2021-05,483.72
2021-06,478.16
2021-07,499.21
2021-08,534.26
2021-09,511.24
2021-10,514.18
2021-11,571.57
2021-12,625.88
2021-01,637.59
2021-02,645.2
2021-03,660.93
2021-04,743.45
2021-05,816.09
2021-06,833.19
2021-07,854.52
2021-08,830.65
2021-09,851.63
2021-10,926.2
2021-11,998.57
2021-12,"1,002.22"
2021-01,"1,122.15"
2021-02,"1,268.63"
2021-03,"1,377.22"
2021-04,"1,320.11"
