tmax(degC),tmin(degC),ppt(mm),pet(mm),ws(mps),srad(W/m^2),q(mm),Date
30.43,20.29,232.9,115.3,1.67,207.70504,117.7,1958-01
31.2,20.92,89.1,115.4,1.41,228.94287,4.5,1958-02
31.97,21.03,179.7,135.1,1.33,238.41747,25.1,1958-03
32.69,21.6,177.1,123.5,1.17,218.47599,53.6,1958-04
32.37,22.1,295,129,1.27,226.1501,166,1958-05
32.4,20.91,150.8,123.3,1.47,223.46136,27.5,1958-06
32.37,20.54,59.1,122,1.28,212.99449,3,1958-07
31.4,20.5,197.6,128.2,1.69,226.25413,27.8,1958-08
31.83,20.87,122.8,112.4,1.35,204.41613,10.4,1958-09
30.91,20.95,371.1,113.9,1.33,203.41586,257.2,1958-10
30.83,21.49,285.6,90,1.22,156.75504,195.6,1958-11
30.69,20.17,123.7,110.6,1.38,200.62309,13.1,1958-12
30.09,20.29,133.7,114.2,1.92,206.02457,19.5,1959-01
31.71,21.02,83,124.3,1.64,248.63628,4.1,1959-02
31.83,20.94,240.7,137.7,1.32,246.72375,74.2,1959-03
31.59,21.25,241.6,113.2,1.3,197.58226,128.4,1959-04
31.73,21.34,281.4,107.6,1.1,184.91478,173.8,1959-05
31.9,21.05,173.1,112.3,1.37,204.00802,60.8,1959-06
31.46,20.48,107.2,108.3,1.48,184.81875,5.4,1959-07
31.1,20.45,163.1,121.3,1.84,213.05851,37.7,1959-08
31.37,20.48,212.3,105.5,1.39,191.5486,106.8,1959-09
30.7,20.75,392.8,98,1.39,169.3425,294.8,1959-10
31.22,21.74,345.6,96.4,1.1,173.95977,249.2,1959-11
30.54,20.46,304.7,101.2,1.47,178.38498,203.5,1959-12
29.88,20.33,265.3,112.6,1.68,203.81597,152.7,1960-01
30.56,21.12,110.5,110.3,1.59,217.47572,5.5,1960-02
32.17,20.59,206,131.4,1.19,231.43955,71.2,1960-03
31.69,21.29,280.2,117.6,1.26,207.40895,162.6,1960-04
32.02,21.29,194.9,117.7,1.04,205.71249,77.2,1960-05
31.7,20.65,86.1,118.9,1.44,217.87583,4.3,1960-06
31.42,20.73,188.3,116.8,1.15,208.10515,48,1960-07
31.8,20.75,150.9,126,1.46,222.36506,24.9,1960-08
31.53,20.73,207.8,110.9,1.18,202.31956,96.9,1960-09
31.2,20.8,253.4,104.9,1.15,182.77819,148.5,1960-10
30.97,21.79,372.1,94.6,0.98,170.21474,277.5,1960-11
30.03,20.56,328.5,96.9,1.21,171.80718,231.6,1960-12
29.48,20.13,236.1,111.9,1.69,206.42468,124.2,1961-01
30.86,20.82,157.7,105.9,1.42,208.12115,51.8,1961-02
31.77,21.09,232.5,135.6,1.1,245.00328,96.9,1961-03
31.39,21.34,292.8,120.3,1.06,219.61231,172.5,1961-04
31.82,21.24,153.4,113.1,1.14,196.32591,40.3,1961-05
31.54,20.35,128.1,111.9,1.26,204.72022,16.2,1961-06
31.76,19.98,174.1,114.9,1.31,199.9269,59.2,1961-07
31.5,20.45,165.7,121.1,1.56,212.01822,44.6,1961-08
31.22,20.03,229.2,107.2,1.25,193.92525,122,1961-09
30.6,20.4,232.8,103.9,1.21,182.93023,128.9,1961-10
31.33,21.48,230.7,97.8,0.85,179.43327,132.9,1961-11
29.59,20.56,298.1,87,1.18,150.74539,211.1,1961-12
28.78,20.43,212.2,104.4,1.53,193.22906,107.8,1962-01
30.51,20.23,61.6,112.7,1.73,222.17301,3.1,1962-02
30.93,20.88,271.2,123.5,1.1,221.87693,113.4,1962-03
31.69,21.09,292.7,120.5,1.02,218.98813,172.2,1962-04
32.02,21.29,259.2,117.3,1.13,203.96801,141.9,1962-05
31.8,20.1,170.9,122.3,1.26,226.64624,48.6,1962-06
31.71,20.33,104.5,111.8,1.31,193.53314,5.2,1962-07
30.84,19.9,314.7,114.7,1.36,200.88716,192.1,1962-08
31.12,20.57,187.7,103.8,1.15,190.24424,83.9,1962-09
30.46,20.8,374.5,100.3,1.19,175.43217,274.2,1962-10
31.57,21.64,301.2,100.6,0.97,182.59414,200.6,1962-11
29.89,20.42,242.2,97.9,1.31,172.64741,144.3,1962-12
28.44,19.63,199.6,105.2,1.69,195.32564,94.4,1963-01
30.01,20.17,64.4,106,1.68,210.73787,3.2,1963-02
31.68,20.79,102.6,133.4,1.24,241.17823,5.1,1963-03
32.69,21.05,82.5,128.9,1.14,232.76792,4.1,1963-04
32.27,21.25,303.4,119.3,1.11,207.04085,129.4,1963-05
32,20.61,75.4,106.1,1.29,187.31544,3.8,1963-06
31.91,20.63,138.9,107.3,1.32,181.30579,9.8,1963-07
31.35,20.55,179.9,107.5,1.55,180.30551,72.4,1963-08
31.37,20.97,196.5,93.7,1.22,165.28539,102.8,1963-09
30.6,20.8,351.8,93.7,1.33,158.57955,258.1,1963-10
31.67,21.64,400.3,83.2,0.98,141.75893,317.1,1963-11
30.43,20.36,224.6,97.8,1.22,171.39907,126.8,1963-12
30.63,20.54,185.2,110.4,1.59,195.2056,74.8,1964-01
30.46,21.41,145.5,104.3,1.53,201.23926,41.2,1964-02
31.43,21.18,151.1,135.1,1.27,240.79412,16,1964-03
31.79,21.54,222.7,115.7,0.93,207.36894,107,1964-04
31.77,21.3,183.3,121,1.1,212.11425,62.3,1964-05
31.6,20.46,202.8,110,1.28,196.78204,92.8,1964-06
31.06,20.29,329.6,106.1,1.23,181.85794,223.5,1964-07
31.45,19.9,131.7,124.5,1.46,219.2362,7.2,1964-08
31.12,20.62,223.5,101.5,1.35,181.75391,122,1964-09
30.45,20.51,283.8,101.6,1.18,176.41644,182.2,1964-10
31.17,21.54,236.3,92.9,1.06,163.95702,143.4,1964-11
29.64,19.82,225.9,96.5,1.29,169.6946,129.4,1964-12
29.78,18.99,42,122.5,1.81,225.63796,2.1,1965-01
30.61,20.67,84,102.5,1.47,200.36702,4.2,1965-02
31.38,20.63,153.4,128.5,1.28,228.3427,7.7,1965-03
31.35,20.89,237.3,110.5,1.03,197.07812,89.9,1965-04
31.37,21.19,271.5,115.1,1.16,202.4716,156.4,1965-05
31.8,20.55,87.1,106.3,1.39,188.48376,4.4,1965-06
31.46,20.28,116.3,107,1.25,183.29033,5.8,1965-07
31.29,20.14,268.9,115.8,1.5,200.56708,141.7,1965-08
31.03,20.32,225.4,110.3,1.31,203.86398,115.1,1965-09
30.75,20.74,378.3,101.5,1.23,177.89685,276.8,1965-10
31.67,21.74,296,95.4,0.98,170.00668,200.6,1965-11
29.74,20.6,335.4,90.1,1.34,154.92254,245.3,1965-12
29.58,20.38,280.8,103.7,1.81,182.99425,177.1,1966-01
31,21.12,117.6,110,1.53,214.63494,7.6,1966-02
31.87,20.99,205.5,136.6,1.31,241.69837,68.9,1966-03
32.08,21.49,296.4,121.4,1.08,217.32368,175,1966-04
31.82,21.19,133.4,125.9,1.37,220.01242,7.5,1966-05
31.35,20.5,259.6,117.6,1.39,217.52373,142,1966-06
31.26,20.44,186.3,126.9,1.6,228.16665,59.4,1966-07
31.15,20.41,270.1,130.4,1.73,234.33635,139.7,1966-08
31.53,20.43,244.9,114,1.4,208.6653,130.9,1966-09
30.5,20.7,382.1,112.9,1.35,202.79169,269.2,1966-10
31.47,21.44,340.6,98.7,1.14,176.32842,241.9,1966-11
29.79,20.41,425,96,1.44,168.66231,329,1966-12
28.78,20.03,337.2,105,1.72,192.13276,232.2,1967-01
29.8,20.67,199.7,106.3,1.48,213.42661,93.4,1967-02
31.53,20.48,182.1,140,1.33,252.54135,42.1,1967-03
31.49,20.8,250.3,124.5,1.06,227.78255,125.8,1967-04
31.32,21.05,266.9,111.4,1.26,191.63662,155.5,1967-05
31.45,20.35,164.1,111.1,1.49,199.85488,53,1967-06
31.36,20.44,128.7,106.4,1.16,184.30661,22.3,1967-07
31.34,20.25,141.6,114.4,1.48,196.58998,27.2,1967-08
31.32,20.33,202.6,106.6,1.17,193.51714,96,1967-09
30.76,20.3,366.1,99.3,1.22,169.84664,266.8,1967-10
31.06,21.64,395.7,84.1,0.89,146.47222,311.6,1967-11
29.78,20.16,141.8,103.6,1.35,186.68326,38.2,1967-12
29.62,19.74,149,115.3,1.58,210.72987,33.7,1968-01
31.41,19.68,91.4,123.2,1.53,244.41912,4.6,1968-02
31.93,20.63,137.7,129.5,1.46,223.31732,6.9,1968-03
31.79,20.99,188.3,125.1,0.99,228.56676,41.5,1968-04
31.47,20.89,365.8,110.1,1.1,188.73983,255.7,1968-05
31.8,20.6,207.5,105.5,1.14,188.93188,102,1968-06
31.36,20.43,148.5,118,1.06,211.226,30.5,1968-07
31.45,20.45,147,122,1.3,216.17936,25,1968-08
31.28,20.43,209.8,107.7,1.22,194.87751,102.1,1968-09
30.41,20.55,358,105,1.2,185.17085,253,1968-10
32.06,21.44,181.1,94.9,0.99,166.44571,86.2,1968-11
29.98,20.41,356.2,97.2,1.25,169.7106,259,1968-12
30.23,20.34,245.2,108.6,1.51,196.38993,136.6,1969-01
31.45,20.62,96.6,119.1,1.42,238.21741,4.8,1969-02
32.52,21.09,162.1,133.7,1.26,235.40064,11.1,1969-03
32.43,21.49,223.1,124.5,1.06,225.0458,98.6,1969-04
32.11,21.6,375.8,121.9,1,216.49945,253.9,1969-05
31.7,20.81,157.2,109.2,1.17,199.39875,48,1969-06
31.71,20.54,100,114.7,1.5,199.1987,5,1969-07
31.24,20.15,292.8,111.1,1.5,190.14821,169.2,1969-08
31.62,20.43,166.3,106.9,1.2,195.68574,59.4,1969-09
31,20.65,326.3,101.8,1.29,176.37643,224.5,1969-10
30.77,21.74,277.8,88.9,1.07,158.17143,188.9,1969-11
29.79,20.36,233.9,91.8,1.27,162.39659,142.1,1969-12
29.89,20.48,355,107.8,1.52,194.24534,247.2,1970-01
31.26,20.62,39.8,116,1.45,228.37471,2,1970-02
32.23,20.99,152.7,125.7,1.21,216.26739,7.6,1970-03
31.84,21.54,233.1,121,1.07,216.56347,84.3,1970-04
31.81,21.3,311.6,121.2,1.16,211.70613,190.4,1970-05
31.8,20.81,123.5,112.6,1.29,203.86398,10.9,1970-06
31.26,20.33,137.9,113.6,1.22,199.00665,24.3,1970-07
31.65,20.35,160,122.7,1.57,213.19454,37.3,1970-08
31.02,20.33,249.6,106.6,1.17,194.04528,143,1970-09
30.5,20.8,286.9,106.4,1.31,188.58779,180.5,1970-10
31.32,21.64,287.9,98.3,0.88,178.86512,189.6,1970-11
29.88,20.36,375.9,92.7,1.11,161.70841,283.2,1970-12
28.88,19.88,430.9,101.3,1.5,183.38636,329.6,1971-01
30,20.02,115.8,107.2,1.12,217.86783,8.6,1971-02
31.13,20.33,137.1,125.7,1.07,225.88603,11.4,1971-03
32.33,20.79,115.8,132.5,0.94,245.70747,5.8,1971-04
31.72,20.79,155.1,119.5,1.06,209.34549,21.4,1971-05
31.6,20.11,120.8,111.7,1.1,204.19207,9.1,1971-06
31.56,20.13,165.6,115.1,1.02,204.39213,50.5,1971-07
30.74,19.75,264.7,109.5,1.28,189.22796,155.2,1971-08
31.47,20.57,211.6,103.5,1.19,186.85131,108.1,1971-09
30.76,20.5,191.5,105.8,1.23,184.77074,85.7,1971-10
31.02,21.19,327.7,90.1,0.96,158.61956,237.6,1971-11
28.89,20.51,389,85.8,1.35,149.50505,303.2,1971-12
29.58,19.14,112.3,120.1,1.45,224.98178,5.6,1972-01
30.95,20.72,159.2,114.8,1.25,233.17603,35.9,1972-02
31.73,20.44,80.4,136.4,0.96,249.06039,4,1972-03
31.39,20.94,280,127.4,1,237.67326,114.7,1972-04
32.07,21.04,184.5,122.8,0.93,219.98841,61.7,1972-05
31.7,20.91,145.3,109.6,1.31,198.01437,35.7,1972-06
32.26,21.04,53.9,124.6,1.32,220.78863,2.7,1972-07
31.94,20.45,154.8,118.4,1.45,201.80742,7.7,1972-08
31.32,20.73,252.7,97.8,1.19,173.53565,137.2,1972-09
31.46,20.8,289.9,104.8,1.14,181.7299,185.1,1972-10
31.97,21.84,392.9,87.9,0.85,152.75395,305,1972-11
30.28,20.72,249.2,102,2.07,175.5362,147.2,1972-12
30.43,20.39,165.2,110.9,1.64,198.87861,54.3,1973-01
31.75,21.52,110.6,118.5,1.47,232.39982,5.5,1973-02
31.83,21.14,141.4,124.8,1.1,216.58747,8.1,1973-03
31.99,21.9,270.5,117.3,0.87,212.10624,153.2,1973-04
31.61,21.18,385.5,116.7,1,204.24809,268.8,1973-05
31.85,20.96,174.9,107.9,1.1,195.69374,67,1973-06
31.76,20.83,108.7,108,1.1,186.24314,5.4,1973-07
31.4,20.55,180.7,110,1.32,188.03563,67.7,1973-08
31.07,20.63,189,103,1.12,186.8353,86,1973-09
30.8,20.84,366.1,96.6,1.2,165.3494,269.5,1973-10
31.27,21.89,321.6,90.5,0.95,160.37204,231.1,1973-11
28.79,20.06,317.8,93.9,2.12,163.35686,223.9,1973-12
28.98,19.24,106,109.2,1.64,198.50251,5.3,1974-01
29.86,20.67,165.3,113.1,1.47,231.9597,46.9,1974-02
31.63,20.14,87.1,122.9,1.1,216.17136,4.4,1974-03
31.34,21.24,289.8,115.7,0.87,211.70613,148.7,1974-04
31.27,20.85,311.3,115.4,1,203.86398,195.9,1974-05
31.5,20.41,160.9,107.3,1.1,195.32564,53.6,1974-06
31.41,20.19,160.4,107.4,1.1,185.89105,53,1974-07
31.7,20.65,77.9,110.1,1.32,187.67554,3.9,1974-08
30.82,20.27,328.9,102.9,1.12,186.48321,203.2,1974-09
31.25,20.76,126.4,97.4,1.2,165.03732,29,1974-10
31.36,21.64,209.9,93.7,1.04,164.74124,116.2,1974-11
30.38,19.91,274.1,88.9,1.22,147.8566,185.2,1974-12
29.59,19.93,284.5,108.9,1.38,201.67138,175.6,1975-01
30.35,20.52,150.7,110,1.32,220.94867,40.7,1975-02
31.17,20.43,237.1,136.7,1.29,247.49196,100.4,1975-03
31.69,21.24,220,120.9,0.94,221.94895,99.1,1975-04
31.27,20.84,224.6,114.9,0.99,202.66365,109.7,1975-05
30.96,20.31,132.7,108.1,1.3,197.89434,24.6,1975-06
