Month,exmaus
1971-01,3.0755
1971-02,3.0661
1971-03,3.0659
1971-04,3.0671
1971-05,3.0635
1971-06,3.0563
1971-07,3.055
1971-08,3.0547
1971-09,2.9982
1971-10,2.9786
1971-11,2.9738
1971-12,2.9299
1972-01,2.8788
1972-02,2.8506
1972-03,2.8242
1972-04,2.8215
1972-05,2.8213
1972-06,2.8189
1972-07,2.7842
1972-08,2.7758
1972-09,2.7693
1972-10,2.773
1972-11,2.7682
1972-12,2.8146
1973-01,2.8149
1973-02,2.6602
1973-03,2.505
1973-04,2.481
1973-05,2.4793
1973-06,2.4479
1973-07,2.32
1973-08,2.2803
1973-09,2.3062
1973-10,2.2916
1973-11,2.3908
1973-12,2.4153
1974-01,2.4943
1974-02,2.4698
1974-03,2.4304
1974-04,2.3833
1974-05,2.3723
1974-06,2.4047
1974-07,2.4114
1974-08,2.4146
1974-09,2.413
1974-10,2.406
1974-11,2.3219
1974-12,2.357
1975-01,2.3064
1975-02,2.2659
1975-03,2.2431
1975-04,2.2833
1975-05,2.2585
1975-06,2.2803
1975-07,2.4149
1975-08,2.5139
1975-09,2.5501
1975-10,2.5687
1975-11,2.5689
1975-12,2.586
1976-01,2.5842
1976-02,2.5643
1976-03,2.561
1976-04,2.562
1976-05,2.5589
1976-06,2.5544
1976-07,2.5266
1976-08,2.4953
1976-09,2.5155
1976-10,2.5269
1976-11,2.5308
1976-12,2.5285
1977-01,2.5178
1977-02,2.4994
1977-03,2.4905
1977-04,2.4811
1977-05,2.4842
1977-06,2.4832
1977-07,2.4727
1977-08,2.4627
1977-09,2.463
1977-10,2.4339
1977-11,2.3861
1977-12,2.3696
1978-01,2.368
1978-02,2.3599
1978-03,2.3569
1978-04,2.3779
1978-05,2.4014
1978-06,2.383
1978-07,2.3559
1978-08,2.3025
1978-09,2.2935
1978-10,2.193
1978-11,2.2021
1978-12,2.1967
1979-01,2.2085
1979-02,2.1984
1979-03,2.2007
1979-04,2.2211
1979-05,2.2255
1979-06,2.1992
1979-07,2.1542
1979-08,2.1569
1979-09,2.156
1979-10,2.1705
1979-11,2.1901
1979-12,2.1772
1980-01,2.1802
1980-02,2.1789
1980-03,2.2247
1980-04,2.2825
1980-05,2.1889
1980-06,2.1448
1980-07,2.1433
1980-08,2.1513
1980-09,2.122
1980-10,2.1321
1980-11,2.1652
1980-12,2.2025
1981-01,2.2225
1981-02,2.2629
1981-03,2.2817
1981-04,2.3159
1981-05,2.3391
1981-06,2.341
1981-07,2.3519
1981-08,2.3743
1981-09,2.3516
1981-10,2.299
1981-11,2.2563
1981-12,2.2478
1982-01,2.2575
1982-02,2.3106
1982-03,2.3265
1982-04,2.3395
1982-05,2.2907
1982-06,2.3392
1982-07,2.3555
1982-08,2.3528
1982-09,2.361
1982-10,2.3688
1982-11,2.3647
1982-12,2.3529
1983-01,2.2822
1983-02,2.2757
1983-03,2.2898
1983-04,2.3063
1983-05,2.3009
1983-06,2.3245
1983-07,2.3319
1983-08,2.3523
1983-09,2.3506
1983-10,2.3451
1983-11,2.345
1983-12,2.3407
1984-01,2.3411
1984-02,2.3362
1984-03,2.2933
1984-04,2.2904
1984-05,2.3029
1984-06,2.3109
1984-07,2.3385
1984-08,2.3331
1984-09,2.3528
1984-10,2.4076
1984-11,2.4021
1984-12,2.4164
1985-01,2.4804
1985-02,2.5513
1985-03,2.5734
1985-04,2.4922
1985-05,2.476
1985-06,2.4686
1985-07,2.4696
1985-08,2.4645
1985-09,2.4841
1985-10,2.453
1985-11,2.4341
1985-12,2.4291
1986-01,2.449
1986-02,2.4704
1986-03,2.5367
1986-04,2.5981
1986-05,2.5978
1986-06,2.6231
1986-07,2.6455
1986-08,2.6121
1986-09,2.6174
1986-10,2.6245
1986-11,2.6131
1986-12,2.5966
1987-01,2.5702
1987-02,2.5418
1987-03,2.523
1987-04,2.4857
1987-05,2.476
1987-06,2.5078
1987-07,2.5414
1987-08,2.5361
1987-09,2.5189
1987-10,2.5308
1987-11,2.4989
1987-12,2.4944
1988-01,2.54
1988-02,2.5812
1988-03,2.569
1988-04,2.5743
1988-05,2.5847
1988-06,2.586
1988-07,2.6267
1988-08,2.652
1988-09,2.6643
1988-10,2.6785
1988-11,2.6779
1988-12,2.6935
1989-01,2.7222
1989-02,2.7307
1989-03,2.7535
1989-04,2.7211
1989-05,2.6968
1989-06,2.7086
1989-07,2.6809
1989-08,2.6825
1989-09,2.698
1989-10,2.6945
1989-11,2.7028
1989-12,2.7032
1990-01,2.7041
1990-02,2.7032
1990-03,2.717
1990-04,2.7264
1990-05,2.7024
1990-06,2.7104
1990-07,2.7051
1990-08,2.6956
1990-09,2.6959
1990-10,2.6995
1990-11,2.6949
1990-12,2.703
1991-01,2.714
1991-02,2.6969
1991-03,2.7418
1991-04,2.7498
1991-05,2.7573
1991-06,2.781
1991-07,2.7868
1991-08,2.7806
1991-09,2.7577
1991-10,2.7469
1991-11,2.7412
1991-12,2.7417
1992-01,2.6891
1992-02,2.6012
1992-03,2.5779
1992-04,2.5521
1992-05,2.5223
1992-06,2.5187
1992-07,2.4999
1992-08,2.4977
1992-09,2.5029
1992-10,2.5044
1992-11,2.5227
1992-12,2.571
1993-01,2.5985
1993-02,2.6295
1993-03,2.6051
1993-04,2.5777
1993-05,2.5661
1993-06,2.5696
1993-07,2.5672
1993-08,2.5514
1993-09,2.5475
1993-10,2.5478
1993-11,2.5548
1993-12,2.5737
1994-01,2.716
1994-02,2.7624
1994-03,2.7171
1994-04,2.6887
1994-05,2.6169
1994-06,2.5942
1994-07,2.5948
1994-08,2.5633
1994-09,2.5575
1994-10,2.5589
1994-11,2.5604
1994-12,2.5626
1995-01,2.5556
1995-02,2.5526
1995-03,2.5464
1995-04,2.4787
1995-05,2.4684
1995-06,2.4396
1995-07,2.45
1995-08,2.4813
1995-09,2.5124
1995-10,2.5324
1995-11,2.5389
1995-12,2.5399
1996-01,2.5563
1996-02,2.5487
1996-03,2.5417
1996-04,2.5113
1996-05,2.4936
1996-06,2.4967
1996-07,2.4915
1996-08,2.4933
1996-09,2.5009
1996-10,2.5074
1996-11,2.5234
1996-12,2.5251
1997-01,2.49
1997-02,2.4866
1997-03,2.4773
1997-04,2.5028
1997-05,2.507
1997-06,2.5167
1997-07,2.5815
1997-08,2.7589
1997-09,3.0254
1997-10,3.2972
1997-11,3.3791
1997-12,3.7907
1998-01,4.4093
1998-02,3.8148
1998-03,3.7456
1998-04,3.7376
1998-05,3.8204
1998-06,4.0006
1998-07,4.1591
1998-08,4.2036
1998-09,3.805
1998-10,3.8
1998-11,3.8
1998-12,3.8014
1999-01,3.8
1999-02,3.8
1999-03,3.8
1999-04,3.8
1999-05,3.8
1999-06,3.8
1999-07,3.8
1999-08,3.8
1999-09,3.8
1999-10,3.8
1999-11,3.8
1999-12,3.8
2000-01,3.8
2000-02,3.8
2000-03,3.8
2000-04,3.8
2000-05,3.8
2000-06,3.8
2000-07,3.8
2000-08,3.8
2000-09,3.8
2000-10,3.8
2000-11,3.8
2000-12,3.8
2001-01,3.8
2001-02,3.8
2001-03,3.8
2001-04,3.8
2001-05,3.8
2001-06,3.8
2001-07,3.8
2001-08,3.8
2001-09,3.8
2001-10,3.8001
2001-11,3.8
2001-12,3.8
2002-01,3.8
2002-02,3.8002
2002-03,3.8
2002-04,3.8
2002-05,3.8
2002-06,3.8
2002-07,3.8
2002-08,3.8
2002-09,3.8
2002-10,3.8
2002-11,3.8
2002-12,3.8
2003-01,3.8
2003-02,3.8
2003-03,3.8
2003-04,3.8
2003-05,3.8
2003-06,3.8
2003-07,3.8
2003-08,3.8
2003-09,3.8
2003-10,3.8
2003-11,3.8
2003-12,3.8
2004-01,3.8
2004-02,3.8
2004-03,3.8
2004-04,3.8
2004-05,3.8
2004-06,3.8
2004-07,3.8
2004-08,3.8
2004-09,3.8
2004-10,3.8
2004-11,3.8
2004-12,3.8
2005-01,3.8
2005-02,3.8
2005-03,3.8
2005-04,3.8
2005-05,3.8
2005-06,3.8
2005-07,3.7872
2005-08,3.7589
2005-09,3.7689
2005-10,3.7735
2005-11,3.7782
2005-12,3.778
2006-01,3.753
2006-02,3.7276
2006-03,3.704
2006-04,3.6626
2006-05,3.6091
2006-06,3.6638
2006-07,3.6679
2006-08,3.673
2006-09,3.6699
2006-10,3.6762
2006-11,3.6413
2006-12,3.5477
2007-01,3.5065
2007-02,3.4949
2007-03,3.4894
2007-04,3.4364
2007-05,3.4002
2007-06,3.4444
2007-07,3.4397
2007-08,3.4826
2007-09,3.4691
2007-10,3.3735
2007-11,3.3588
2007-12,3.3324
2008-01,3.2653
2008-02,3.2216
2008-03,3.1841
2008-04,3.1604
2008-05,3.2127
2008-06,3.2568
2008-07,3.2476
2008-08,3.33
2008-09,3.4405
2008-10,3.5222
2008-11,3.5843
2008-12,3.5483
2009-01,3.5705
2009-02,3.6345
2009-03,3.6726
2009-04,3.6053
2009-05,3.5218
2009-06,3.5156
2009-07,3.5443
2009-08,3.5156
2009-09,3.4899
2009-10,3.4016
2009-11,3.3886
