date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
12/11/10 0:00,31,21,0,11.6,7,34,11:31 AM,11:47 PM,7:08 AM,7:05 PM,20,25,25,22,3,26,88,0,1010,22,10,20,1,malaysia
12/11/10 12:00,31,21,0,11.6,7,34,11:31 AM,11:47 PM,7:08 AM,7:05 PM,22,34,34,31,7,56,60,0.1,1007,31,10,323,6,malaysia
12/12/10 0:00,31,22,0,11.6,7,41,12:11 PM,No moonset,7:09 AM,7:05 PM,21,25,25,23,6,47,91,0.1,1008,23,10,318,3,malaysia
12/12/10 12:00,31,22,0,11.6,7,41,12:11 PM,No moonset,7:09 AM,7:05 PM,22,34,34,31,6,57,61,0,1006,31,10,266,5,malaysia
12/13/10 0:00,32,23,0,10.2,7,48,12:51 PM,12:28 AM,7:09 AM,7:06 PM,21,25,25,23,3,39,91,0,1008,23,10,352,2,malaysia
12/13/10 12:00,32,23,0,10.2,7,48,12:51 PM,12:28 AM,7:09 AM,7:06 PM,22,35,35,32,9,67,57,0.4,1007,32,10,281,8,malaysia
12/14/10 0:00,32,22,0,10.2,7,55,1:30 PM,1:10 AM,7:10 AM,7:06 PM,21,25,25,23,6,34,90,0,1009,23,10,327,4,malaysia
12/14/10 12:00,32,22,0,10.2,7,55,1:30 PM,1:10 AM,7:10 AM,7:06 PM,23,36,36,32,9,58,59,0.4,1008,32,10,334,8,malaysia
12/15/10 0:00,30,22,0,11.6,7,61,2:10 PM,1:52 AM,7:10 AM,7:07 PM,22,25,25,23,10,35,93,0,1009,23,10,318,5,malaysia
12/15/10 12:00,30,22,0,11.6,7,61,2:10 PM,1:52 AM,7:10 AM,7:07 PM,24,36,36,30,6,31,69,0,1007,30,10,291,5,malaysia
12/16/10 0:00,30,21,0,10.2,6,68,2:52 PM,2:35 AM,7:10 AM,7:07 PM,22,25,25,22,4,62,96,4.7,1008,22,7,81,2,malaysia
12/16/10 12:00,30,21,0,10.2,6,68,2:52 PM,2:35 AM,7:10 AM,7:07 PM,25,36,36,30,8,50,77,0,1008,30,10,287,7,malaysia
12/17/10 0:00,31,21,0,11.6,6,75,3:38 PM,3:21 AM,7:11 AM,7:08 PM,21,22,24,22,3,14,97,0.1,1008,22,2,319,1,malaysia
12/17/10 12:00,31,21,0,11.6,6,75,3:38 PM,3:21 AM,7:11 AM,7:08 PM,23,36,36,31,9,25,63,0.2,1007,31,9,296,8,malaysia
12/18/10 0:00,30,22,0,10.2,6,82,4:26 PM,4:09 AM,7:11 AM,7:08 PM,21,25,25,23,5,24,92,0.5,1009,23,9,24,3,malaysia
12/18/10 12:00,30,22,0,10.2,6,82,4:26 PM,4:09 AM,7:11 AM,7:08 PM,22,33,33,30,7,25,63,0.1,1009,30,10,25,6,malaysia
12/19/10 0:00,31,21,0,10.2,7,88,5:19 PM,5:02 AM,7:12 AM,7:09 PM,20,22,24,22,5,36,92,0,1010,22,10,350,3,malaysia
12/19/10 12:00,31,21,0,10.2,7,88,5:19 PM,5:02 AM,7:12 AM,7:09 PM,22,36,36,31,8,48,59,0.5,1009,31,9,27,7,malaysia
12/20/10 0:00,31,22,0,10.2,6,95,6:15 PM,5:57 AM,7:13 AM,7:09 PM,22,25,25,23,6,22,95,0,1010,23,2,1,4,malaysia
12/20/10 12:00,31,22,0,10.2,6,95,6:15 PM,5:57 AM,7:13 AM,7:09 PM,24,36,36,31,4,65,66,0,1008,31,10,345,4,malaysia
12/21/10 0:00,29,21,0,8.8,6,98,7:13 PM,6:54 AM,7:13 AM,7:10 PM,22,25,25,22,3,100,99,0,1009,22,0,182,1,malaysia
12/21/10 12:00,29,21,0,8.8,6,98,7:13 PM,6:54 AM,7:13 AM,7:10 PM,25,35,35,29,5,48,79,0,1007,29,10,338,5,malaysia
12/22/10 0:00,30,22,0,10.2,6,91,8:12 PM,7:52 AM,7:14 AM,7:10 PM,22,22,25,22,8,100,98,0,1008,22,0,43,4,malaysia
12/22/10 12:00,30,22,0,10.2,6,91,8:12 PM,7:52 AM,7:14 AM,7:10 PM,25,36,36,30,5,31,72,0.4,1006,30,9,164,5,malaysia
12/23/10 0:00,30,22,0,6,6,85,9:09 PM,8:49 AM,7:14 AM,7:11 PM,22,25,25,22,8,65,96,0.1,1008,22,2,54,4,malaysia
12/23/10 12:00,30,22,0,6,6,85,9:09 PM,8:49 AM,7:14 AM,7:11 PM,23,35,35,30,2,60,67,0,1008,30,10,121,2,malaysia
12/24/10 0:00,31,22,0,11.6,6,78,10:04 PM,9:43 AM,7:15 AM,7:11 PM,22,25,25,22,8,72,95,0.1,1009,22,2,6,5,malaysia
12/24/10 12:00,31,22,0,11.6,6,78,10:04 PM,9:43 AM,7:15 AM,7:11 PM,23,36,36,31,4,29,63,1.2,1007,31,9,291,4,malaysia
12/25/10 0:00,30,22,0,11.6,6,71,10:58 PM,10:35 AM,7:15 AM,7:12 PM,22,25,25,23,4,75,95,0,1008,23,2,76,3,malaysia
12/25/10 12:00,30,22,0,11.6,6,71,10:58 PM,10:35 AM,7:15 AM,7:12 PM,24,33,33,29,5,48,75,0,1008,29,10,296,4,malaysia
12/26/10 0:00,31,22,0,11.6,6,64,11:49 PM,11:25 AM,7:16 AM,7:12 PM,21,22,25,22,5,56,95,0.1,1008,22,2,86,3,malaysia
12/26/10 12:00,31,22,0,11.6,6,64,11:49 PM,11:25 AM,7:16 AM,7:12 PM,24,37,37,31,2,34,64,0.5,1007,31,9,147,1,malaysia
12/27/10 0:00,33,21,0,11.6,7,57,No moonrise,12:13 PM,7:16 AM,7:13 PM,21,25,25,22,7,6,93,0,1010,22,10,31,5,malaysia
12/27/10 12:00,33,21,0,11.6,7,57,No moonrise,12:13 PM,7:16 AM,7:13 PM,21,36,36,33,5,19,49,0,1008,33,10,227,4,malaysia
12/28/10 0:00,31,21,0,8.8,6,51,12:40 AM,1:01 PM,7:16 AM,7:13 PM,21,21,24,21,4,63,96,0,1009,21,2,14,2,malaysia
12/28/10 12:00,31,21,0,8.8,6,51,12:40 AM,1:01 PM,7:16 AM,7:13 PM,23,35,35,31,3,60,64,0.5,1008,31,10,15,3,malaysia
12/29/10 0:00,30,22,0,11.6,6,44,1:32 AM,1:50 PM,7:17 AM,7:14 PM,22,26,26,23,8,40,95,0,1008,23,2,14,5,malaysia
12/29/10 12:00,30,22,0,11.6,6,44,1:32 AM,1:50 PM,7:17 AM,7:14 PM,23,34,34,30,4,57,64,0.5,1007,30,10,302,3,malaysia
12/30/10 0:00,31,21,0,8.8,6,37,2:24 AM,2:41 PM,7:17 AM,7:14 PM,21,25,25,22,6,39,94,0,1009,22,2,29,3,malaysia
12/30/10 12:00,31,21,0,8.8,6,37,2:24 AM,2:41 PM,7:17 AM,7:14 PM,23,35,35,31,6,44,64,0.6,1008,31,9,15,5,malaysia
12/31/10 0:00,32,22,0,10.2,6,30,3:19 AM,3:35 PM,7:18 AM,7:15 PM,22,25,25,22,6,100,98,0,1009,22,0,2,3,malaysia
12/31/10 12:00,32,22,0,10.2,6,30,3:19 AM,3:35 PM,7:18 AM,7:15 PM,22,37,37,32,5,39,55,0.2,1007,32,9,49,5,malaysia
1/1/11 0:00,32,23,0,10.2,6,24,4:14 AM,4:30 PM,7:18 AM,7:15 PM,22,25,25,23,15,37,96,0,1008,23,2,40,9,malaysia
1/1/11 12:00,32,23,0,10.2,6,24,4:14 AM,4:30 PM,7:18 AM,7:15 PM,24,38,38,32,5,74,62,0.2,1006,32,10,92,4,malaysia
1/2/11 0:00,31,23,0,8.8,6,17,5:12 AM,5:27 PM,7:19 AM,7:16 PM,23,25,25,23,6,100,98,0,1008,23,0,18,4,malaysia
1/2/11 12:00,31,23,0,8.8,6,17,5:12 AM,5:27 PM,7:19 AM,7:16 PM,23,34,34,30,3,44,68,0.5,1007,30,5,77,3,malaysia
