Month,oli_pri
1991-09,"3,102.61"
1991-10,"3,100.45"
1991-11,"3,199.41"
1991-12,"3,281.67"
1992-01,"3,261.65"
1992-02,"3,198.40"
1992-03,"3,104.06"
1992-04,"3,161.99"
1992-05,"3,259.13"
1992-06,"3,335.56"
1992-07,"3,454.20"
1992-08,"3,490.25"
1992-09,"3,342.78"
1992-10,"2,986.24"
1992-11,"2,747.90"
1992-12,"2,793.15"
1993-01,"2,757.83"
1993-02,"2,587.66"
1993-03,"2,628.83"
1993-04,"2,783.90"
1993-05,"2,787.13"
1993-06,"2,721.53"
1993-07,"2,694.24"
1993-08,"2,685.46"
1993-09,"2,743.60"
1993-10,"2,706.44"
1993-11,"2,665.22"
1993-12,"2,681.78"
1994-01,"2,686.82"
1994-02,"2,661.50"
1994-03,"2,683.40"
1994-04,"2,668.77"
1994-05,"2,705.24"
1994-06,"2,744.46"
1994-07,"3,553.91"
1994-08,"3,548.05"
1994-09,"3,596.26"
1994-10,"3,694.03"
1994-11,"3,656.24"
1994-12,"3,587.45"
1995-01,"3,622.27"
1995-02,"3,772.18"
1995-03,"4,161.09"
1995-04,"4,503.83"
1995-05,"4,446.18"
1995-06,"4,465.47"
1995-07,"4,624.57"
1995-08,"4,591.11"
1995-09,"4,749.52"
1995-10,"4,973.13"
1995-11,"5,082.29"
1995-12,"5,002.53"
1996-01,"5,509.12"
1996-02,"6,067.63"
1996-03,"6,032.36"
1996-04,"5,909.79"
1996-05,"5,906.63"
1996-06,"6,014.78"
1996-07,"5,903.83"
1996-08,"5,811.23"
1996-09,"5,925.11"
1996-10,"6,023.87"
1996-11,"6,235.91"
1996-12,"6,241.91"
1997-01,"6,225.94"
1997-02,"5,202.66"
1997-03,"4,815.96"
1997-04,"4,235.24"
1997-05,"4,246.53"
1997-06,"3,452.36"
1997-07,"3,760.36"
1997-08,"3,607.56"
1997-09,"3,839.11"
1997-10,"3,914.95"
1997-11,"3,881.83"
1997-12,"3,655.30"
1998-01,"3,475.10"
1998-02,"3,164.00"
1998-03,"3,106.16"
1998-04,"3,093.11"
1998-05,"3,160.63"
1998-06,"3,184.11"
1998-07,"3,172.03"
1998-08,"3,148.39"
1998-09,"3,293.41"
1998-10,"3,346.80"
1998-11,"3,281.72"
1998-12,"3,299.12"
1999-01,"3,260.92"
1999-02,"3,216.03"
1999-03,"3,767.08"
1999-04,"3,824.25"
1999-05,"3,876.89"
1999-06,"3,829.73"
1999-07,"3,658.97"
1999-08,"3,736.30"
1999-09,"3,773.36"
1999-10,"3,852.53"
1999-11,"3,709.49"
1999-12,"3,299.71"
