Month,sbo_pri
1991-09,468
1991-10,485
1991-11,466
1991-12,442
1992-01,429
1992-02,414
1992-03,434
1992-04,425
1992-05,439
1992-06,456
1992-07,429
1992-08,409
1992-09,421
1992-10,418
1992-11,437
1992-12,436
1993-01,444
1993-02,433
1993-03,438
1993-04,448
1993-05,448
1993-06,461
1993-07,505
1993-08,483
1993-09,489
1993-10,491
1993-11,536
1993-12,589
1994-01,602
1994-02,577
1994-03,586
1994-04,584
1994-05,594
1994-06,571
1994-07,560
1994-08,600
1994-09,672
1994-10,642
1994-11,706
1994-12,693
1995-01,674
1995-02,663
1995-03,652
1995-04,610
1995-05,595
1995-06,611
1995-07,626
1995-08,616
1995-09,614
1995-10,638
1995-11,623
1995-12,579
1996-01,554
1996-02,548
1996-03,538
1996-04,582
1996-05,591
1996-06,563
1996-07,549
1996-08,565
1996-09,569
1996-10,528
1996-11,517
1996-12,514
1997-01,534
1997-02,527
1997-03,541
1997-04,541
1997-05,541
1997-06,550
1997-07,535
1997-08,544
1997-09,555
1997-10,611
1997-11,676
1997-12,622
1998-01,625
1998-02,634
1998-03,652
1998-04,662
1998-05,671
1998-06,629
1998-07,612
1998-08,592
1998-09,615
1998-10,614
1998-11,614
1998-12,591
1999-01,541.63
1999-02,482.36
1999-03,444.36
1999-04,442.68
1999-05,421.5
1999-06,405.88
1999-07,391.4
1999-08,412.37
1999-09,413.93
1999-10,399.53
1999-11,387.31
1999-12,374.67
2000-01,369.79
2000-02,357.94
2000-03,363.49
2000-04,366.24
2000-05,337.97
2000-06,330.17
2000-07,339.3
2000-08,328.92
2000-09,312.49
2000-10,314.02
2000-11,316.78
2000-12,320.57
2021-01,304.81
2021-02,303.78
2021-03,327.63
2021-04,326.01
2021-05,295.17
2021-06,286.89
2021-07,421.36
2021-08,427.49
2021-09,385.09
2021-10,373.03
2021-11,390.69
2021-12,396.87
2021-01,389.18
2021-02,364.92
2021-03,359.21
2021-04,370.86
2021-05,399.89
2021-06,456.81
2021-07,489.63
2021-08,502.75
2021-09,505.67
2021-10,528.57
2021-11,582
2021-12,591.03
2021-01,540.72
2021-02,522.43
2021-03,522.52
2021-04,540.9
2021-05,549.24
2021-06,545.85
2021-07,531.41
2021-08,515.69
2021-09,558.02
2021-10,608.26
2021-11,630.62
2021-12,637.36
2021-01,656.97
2021-02,682.08
2021-03,689.43
2021-04,672.46
2021-05,627.96
2021-06,581.74
2021-07,605.08
2021-08,604.65
2021-09,601.6
2021-10,583.49
2021-11,561.19
2021-12,552.06
2021-01,519.98
2021-02,495.73
2021-03,543.69
2021-04,545.88
2021-05,537.98
2021-06,560.15
2021-07,561.26
2021-08,550.08
2021-09,545.16
2021-10,578.62
2021-11,558.93
2021-12,537.66
2021-01,535.83
2021-02,533.27
2021-03,540.6
2021-04,540.44
2021-05,588.29
2021-06,600.55
2021-07,630.01
2021-08,632.18
2021-09,602.35
2021-10,614.71
2021-11,675.67
2021-12,698.12
2021-01,697.33
2021-02,715.04
2021-03,719.03
2021-04,753.7
2021-05,788.7
2021-06,835.55
2021-07,887.12
2021-08,921.79
2021-09,977.48
2021-10,"1,007.69"
2021-11,"1,141.52"
2021-12,"1,187.73"
2021-01,"1,280.20"
2021-02,"1,414.17"
2021-03,"1,488.74"
2021-04,"1,422.23"
2021-05,"1,437.87"
2021-06,"1,535.16"
2021-07,"1,506.98"
2021-08,"1,329.64"
2021-09,"1,201.02"
2021-10,942.53
2021-11,825.64
2021-12,745.55
2021-01,789.89
2021-02,747.64
2021-03,730.71
2021-04,809.08
2021-05,889.62
2021-06,892.92
2021-07,846.3
2021-08,903.15
2021-09,858.18
2021-10,897
2021-11,932.38
2021-12,939.91
2021-01,920.55
2021-02,909.19
2021-03,911.07
2021-04,902.83
2021-05,859.49
2021-06,860.28
2021-07,910.82
2021-08,997.62
2021-09,"1,035.26"
2021-10,"1,146.75"
2021-11,"1,231.69"
2021-12,"1,324.72"
2021-01,"1,365.73"
2021-02,"1,359.86"
2021-03,"1,306.53"
2021-04,"1,310.45"
2021-05,"1,296.03"
2021-06,"1,319.38"
2021-07,"1,337.36"
2021-08,"1,328.39"
2021-09,"1,307.85"
2021-10,"1,223.10"
2021-11,"1,213.96"
2021-12,"1,203.28"
2021-01,"1,216.28"
2021-02,"1,249.12"
2021-03,"1,285.38"
2021-04,"1,308.89"
2021-05,"1,220.55"
2021-06,"1,181.93"
2021-07,"1,239.49"
2021-08,"1,250.27"
2021-09,"1,280.95"
2021-10,"1,177.95"
2021-11,"1,137.78"
2021-12,"1,158.64"
2021-01,"1,192.35"
2021-02,"1,173.48"
2021-03,"1,117.43"
2021-04,"1,094.52"
2021-05,"1,073.20"
2021-06,"1,037.75"
2021-07,990.31
2021-08,994.65
2021-09,"1,019.72"
2021-10,990.96
2021-11,989.83
2021-12,990.52
2021-01,942.1
2021-02,970.96
2021-03,996.67
2021-04,"1,001.69"
2021-05,961.81
2021-06,925.82
