Month,wti_pri
2021-09,62.25
2021-10,63.04
2021-11,71.52
2021-12,74.8
2021-01,77.66
2021-02,77.31
2021-03,80.41
2021-04,78.47
2021-05,73.99
2021-06,65.75
2021-07,71.61
2021-08,75.9
2021-09,73.44
2021-10,69
2021-11,67.62
2021-12,67.3
2021-01,71.32
2021-02,71.35
2021-03,71.67
2021-04,70.65
2021-05,72.99
2021-06,72.64
2021-07,80.03
2021-08,80.06
2021-09,79.57
2021-10,73.69
2021-11,69.69
2021-12,71.43
2021-01,69.69
2021-02,73.76
2021-03,72.76
2021-04,73.9
2021-05,74.16
2021-06,77.43
2021-07,76.02
2021-08,72.38
2021-09,72.33
2021-10,66.6
2021-11,60.79
2021-12,48.06
2021-01,40.77
2021-02,44.6
2021-03,44.1
2021-04,50.51
2021-05,53.13
2021-06,53.33
2021-07,46.31
2021-08,38.49
2021-09,40.49
2021-10,41.15
2021-11,39.72
2021-12,34.23
2021-01,29.05
2021-02,27.41
2021-03,34.04
2021-04,36.12
2021-05,41.29
2021-06,43.42
2021-07,40.39
2021-08,39.92
2021-09,40.3
2021-10,45.28
2021-11,42.12
2021-12,49.34
2021-01,49.44
2021-02,50.17
2021-03,46.41
2021-04,47.65
2021-05,43.89
2021-06,40.23
2021-07,40.5
2021-08,40.68
2021-09,41.82
2021-10,43.86
2021-11,48.32
2021-12,48.95
2021-01,52.22
2021-02,50.36
2021-03,50.88
2021-04,54.03
2021-05,59.21
2021-06,57.82
2021-07,60.61
2021-08,58.88
2021-09,60.21
2021-10,61.61
2021-11,49.86
2021-12,43.02
2021-01,45.12
2021-02,48.41
2021-03,51.45
2021-04,56.83
2021-05,54.4
2021-06,48.42
2021-07,51.29
2021-08,49.29
2021-09,51.75
2021-10,48.84
2021-11,51.61
2021-12,53.83
2021-01,51.82
2021-02,46.32
2021-03,27.02
2021-04,15.2
2021-05,26.2
2021-06,34.03
2021-07,35.5
2021-08,35.81
2021-09,33.59
2021-10,33.57
2021-11,34.74
2021-12,38.73
2021-01,42.79
2021-02,48.83
2021-03,52.4
2021-04,51.52
2021-05,53.68
2021-06,59.26
2021-07,61.31
2021-08,57.54
